Section,Misc,Player
Section1,,H Taylor
Section1,,P Coleman
Section1,,C Sieler
Section1,,B Hawcroft
Section1,,V Lancaster
Section1,8,H Gourlay
Section1,5,P Hogan
Section1,,S Walsham
Section1,,A Avis
Section1,,L Hunt
Section1,,J O'Neill
Section1,,D Fromholtz
Section1,,N Eastburn
Section1,4,G Chanfreau
Section2,,J Fallis
Section2,,S Hole
Section2,,M Tesch
Section2,,N Marsh
Section2,,C Zeeman
Section2,,L Bowrey
Section2,,J Young
Section2,7,W Shaw
Section2,6,K Harris
Section2,,P Edwards
Section2,,A Coleman
Section2,,S Walsh
Section2,,H Kayser
Section2,,K Athorne
Section1,1,M Court
Section2,2,E Goolagong
